"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
24031701704,"Takoma Park, MD",39437
24033805101,"Chillum, MD",39160
51510201802,"Old Town, Alexandria, VA",39096
24031702601,"Downtown Silver Spring, Silver Spring, MD",39068
24033800413,"Lanham, MD",38962
24033803700,"Hyattsville, MD",38950
24033806712,"Greenbelt, MD",38877
24031702000,"New Hampshire Estates, Silver Spring, MD",38634
24033805500,"Hyattsville, MD",38574
24033805700,"Hyattsville, MD",38451
11001002701,"Northwest Washington, Washington, DC",38390
51510200301,"Seminary Hill, Alexandria, VA",38383
24031702402,"Silver Spring, MD",38258
24033806602,"Riverdale, East Riverdale, MD",38227
24033803514,"Largo, MD",38153
24033805202,"Takoma Park, MD",38019
11001009901,"Penn Branch, Washington, DC",37883
24033802301,"District Heights, MD",37814
24033801904,"Suitland, Camp Springs, MD",37794
51059420400,"Alexandria, VA",37793
51510200703,"Southwest Quadrant, Alexandria, VA",37785
24031701800,"Takoma Park, MD",37759
11001008100,"Northeast Washington, Washington, DC",37725
24033803607,"Lanham, MD",37678
24033801212,"Camp Springs, MD",37546
11001010300,"Northwest Washington, Washington, DC",37523
24031702500,"Downtown Silver Spring, Silver Spring, MD",37511
24033805201,"Hyattsville, MD",37462
11001002302,"Northwest Washington, Washington, DC",37439
11001011000,"Southwest Washington, Washington, DC",37376
11001001902,"Manor Park, Washington, DC",37342
24033803803,"Riverdale, Woodlawn, MD",37124
24033803519,"Landover, Hyattsville, MD",37059
24033801905,"Suitland, Camp Springs, MD",37010
11001010100,"Downtown, Washington, DC",36878
51510200405,"Landmark, Alexandria, VA",36844
24033804700,"Mount Rainier, MD",36842
24033806501,"Riverdale, Riverdale Park, MD",36829
24033803608,"Lanham, MD",36615
11001009504,"Michigan Park, Washington, DC",36339
51013102901,"Shirlington, Arlington, VA",36335
24033803513,"Largo, MD",36291
24033803613,"Lanham, MD",36288
24033805909,"Hyattsville, MD",36116
24033804400,"Brentwood, MD",35858
11001009503,"Northeast Washington, Washington, DC",35836
11001009000,"Fort Lincoln, Washington, DC",35823
24033802204,"District Heights, MD",35784
11001009201,"Edgewood, Washington, DC",35747
51510201202,"Potomac West, Alexandria, VA",35714
11001009508,"Northeast Washington, Washington, DC",35712
24033806000,"Hyattsville, MD",35669
24033801408,"Fort Washington, MD",35648
24033801405,"Oxon Hill, MD",35573
24033801409,"Fort Washington, MD",35532
11001005002,"Downtown, Washington, DC",35508
51013101602,"Colonial Village, Arlington, VA",35453
11001001804,"Brightwood, Washington, DC",35401
11001002702,"Mount Pleasant, Washington, DC",35342
11001001803,"Brightwood, Washington, DC",35236
11001002400,"Northwest Washington, Washington, DC",35188
24033802203,"Forestville, MD",35036
24033805908,"Chillum, MD",34996
24033805602,"Hyattsville, MD",34982
24033806601,"Prince Georges County, MD",34970
11001002802,"Columbia Heights, Washington, DC",34905
24033803801,"Hyattsville, MD",34687
24033805000,"Hyattsville, MD",34576
24033806300,"Hyattsville, MD",34574
11001002001,"16th Street Heights, Washington, DC",34551
11001004002,"Adams Morgan, Washington, DC",34545
11001001901,"Brightwood, Washington, DC",34530
24033801804,"Temple Hills, MD",34460
24033804900,"Hyattsville, MD",34417
24031702301,"Silver Spring, MD",34377
11001009302,"Brookland, Washington, DC",34349
51013103100,"Nauck, Arlington, VA",34222
24033802103,"District Heights, MD",34170
24033802201,"Upper Marlboro, MD",34145
24033803524,"Hyattsville, MD",34112
11001008402,"Northeast Washington, Washington, DC",34109
24033801706,"Temple Hills, MD",34048
24033804102,"Hyattsville, MD",33987
24033801907,"Suitland, Suitland-Silver Hill, MD",33977
24033801701,"Temple Hills, MD",33960
11001009505,"Northeast Washington, Washington, DC",33907
24033804600,"Brentwood, MD",33791
11001004902,"Downtown, Washington, DC",33679
11001001702,"Northwest Washington, Washington, DC",33604
11001002502,"Northwest Washington, Washington, DC",33503
11001002201,"Northwest Washington, Washington, DC",33353
51510201203,"Potomac West, Alexandria, VA",33329
24033804002,"Bladensburg, MD",33166
24033801708,"Oxon Hill, MD",33126
24033803602,"Glenarden, MD",33118
24031701900,"Takoma Park, MD",33108
11001005201,"Downtown, Washington, DC",32971
24033801906,"Morningside, MD",32548
11001007000,"Southeast Washington, Washington, DC",32354
24033801500,"Oxon Hill, MD",32172
11001002801,"Columbia Heights, Washington, DC",32021
11001009509,"Michigan Park, Washington, DC",31975
24033803002,"Capitol Heights, MD",31933
11001007603,"Southeast Washington, Washington, DC",31846
11001009604,"Northeast Washington, Washington, DC",31782
11001002900,"Northwest Washington, Washington, DC",31570
24033803612,"Lanham, MD",31569
11001002101,"Brightwood Park, Washington, DC",31530
24033801702,"Temple Hills, MD",31519
51510201600,"Old Town West, Alexandria, VA",31492
24033802502,"Capitol Heights, MD",31457
24033803900,"Hyattsville, MD",31406
11001002002,"16th Street Heights, Washington, DC",31380
24033802501,"Suitland, Suitland-Silver Hill, MD",31377
11001009400,"Northeast Washington, Washington, DC",31329
24033802804,"Capitol Heights, MD",31317
11001007807,"Northeast Washington, Washington, DC",31311
11001004201,"Northwest Washington, Washington, DC",31170
11001002102,"Northwest Washington, Washington, DC",31162
11001002202,"Northwest Washington, Washington, DC",31152
24033804802,"Mount Rainier, MD",31089
11001004300,"Northwest Washington, Washington, DC",31079
24033805601,"Hyattsville, MD",31059
11001009301,"Northeast Washington, Washington, DC",30959
11001008302,"Northeast Washington, Washington, DC",30865
24033801808,"Hillcrest Heights, MD",30847
24031701702,"Takoma Park, MD",30824
24033802803,"Capitol Heights, MD",30649
11001003800,"Northwest Washington, Washington, DC",30635
11001011100,"Northeast Washington, Washington, DC",30548
24033802002,"District Heights, MD",30548
24033802404,"District Heights, MD",30514
24033801807,"Hillcrest Heights, MD",30500
24033802104,"District Heights, MD",30472
24033802001,"Suitland, Suitland-Silver Hill, MD",30425
24033804801,"Mount Rainier, MD",30421
11001009501,"Northeast Washington, Washington, DC",30386
11001007707,"Benning Ridge, Washington, DC",30193
11001002301,"Northwest Washington, Washington, DC",30138
11001009902,"Southeast Washington, Washington, DC",30080
11001002501,"16th Street Heights, Washington, DC",30078
11001003700,"Northwest Washington, Washington, DC",30071
24033803508,"Glenarden, MD",30043
11001006802,"Barney Circle, Washington, DC",29989
24033804001,"Bladensburg, MD",29883
24033802700,"Capitol Heights, MD",29767
11001009203,"Northeast Washington, Washington, DC",29650
24033801805,"Temple Hills, MD",29632
24033802408,"Capitol Heights, MD",29612
24033801908,"Suitland, Suitland-Silver Hill, MD",29609
11001007803,"Lower Central NE, Washington, DC",29603
24033804300,"Hyattsville, MD",29429
11001003302,"Bloomingdale, Washington, DC",29386
11001003100,"Northwest Washington, Washington, DC",29372
24033802805,"Pepper Mill Village, Capitol Heights, MD",29306
24033802406,"Suitland, Suitland-Silver Hill, MD",29290
11001004801,"Northwest Washington, Washington, DC",29239
11001009804,"Southeast Washington, Washington, DC",29201
11001008001,"Northeast Washington, Washington, DC",29186
24033803100,"Capitol Heights, MD",29071
11001007604,"Southeast Washington, Washington, DC",29034
51510201204,"Del Ray, Alexandria, VA",29018
11001010500,"Southwest Washington, Washington, DC",28972
24033801704,"Oxon Hill, MD",28884
24033802407,"District Heights, MD",28868
24033801707,"Oxon Hill, MD",28858
24033802107,"District Heights, MD",28840
24033803300,"Hyattsville, MD",28820
11001003200,"Northwest Washington, Washington, DC",28806
24033801802,"Temple Hills, MD",28765
24033801801,"Temple Hills, MD",28718
11001007808,"Grant Park, Washington, DC",28654
24033802405,"Suitland, Suitland-Silver Hill, MD",28633
11001007903,"Kingman Park, Washington, DC",28444
11001007806,"Northeast Washington, Washington, DC",28369
11001009601,"Kenilworth, Washington, DC",28363
24033802901,"Capitol Heights, MD",28236
11001003301,"Bloomingdale, Washington, DC",28187
24033803001,"Capitol Heights, MD",28187
11001009603,"Northeast Washington, Washington, DC",28148
11001008802,"Northeast Washington, Washington, DC",28011
11001009903,"Southeast Washington, Washington, DC",27888
11001003600,"Columbia Heights, Washington, DC",27881
11001007809,"Northeast Washington, Washington, DC",27829
11001010400,"Southeast Washington, Washington, DC",27618
24033803401,"Landover, Hyattsville, MD",27597
11001009905,"Marshall Heights, Washington, DC",27477
24033803402,"Landover, Hyattsville, MD",27469
24033803200,"Hyattsville, MD",27392
11001004802,"Northwest Washington, Washington, DC",27387
11001007703,"Fort Dupont, Washington, DC",27313
24033801600,"Oxon Hill, MD",27305
11001008701,"Eckington, Washington, DC",27165
11001003000,"Columbia Heights, Washington, DC",27153
11001007304,"Congress Heights, Washington, DC",27137
11001007100,"Southeast Washington, Washington, DC",27133
11001004901,"Northwest Washington, Washington, DC",27110
11001008002,"Northeast Washington, Washington, DC",26882
24033803525,"Hyattsville, MD",26871
11001007709,"Fairlawn, Washington, DC",26869
24033802600,"Capitol Heights, MD",26728
11001004400,"Northwest Washington, Washington, DC",26723
11001006801,"Hill East, Washington, DC",26658
11001006900,"Southeast Washington, Washington, DC",26632
24033802106,"Suitland-Silver Hill, MD",26544
11001009602,"Mayfair, Washington, DC",26524
11001009700,"Southeast Washington, Washington, DC",26488
11001009807,"Bellevue, Washington, DC",26151
11001004600,"Northwest Washington, Washington, DC",26035
24033803509,"Dodge Park, Hyattsville, MD",26000
11001007403,"Shipley, Washington, DC",25988
11001009803,"Congress Heights, Washington, DC",25956
11001007605,"Fairlawn, Washington, DC",25874
11001007601,"Southeast Washington, Washington, DC",25760
11001007708,"Southeast Washington, Washington, DC",25637
11001010600,"Near Northeast, Washington, DC",25215
11001008903,"Carver / Langston, Washington, DC",25177
