tract,Name,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall
11001003800,"Northwest Washington, Washington, DC",0.2122
24033801706,"Temple Hills, MD",0.2119
24033802700,"Capitol Heights, MD",0.2118
11001009807,"Bellevue, Washington, DC",0.2112
51013102400,"Arlington Heights, Arlington, VA",0.2111
11001008302,"Northeast Washington, Washington, DC",0.2111
11001009904,"Marshall Heights, Washington, DC",0.2104
24033802406,"Suitland, Suitland-Silver Hill, MD",0.2098
51059450200,"Falls Church, VA",0.2093
24033804700,"Mount Rainier, MD",0.2092
51013102302,"Barcroft, Arlington, VA",0.2088
51059452400,"Springfield, VA",0.2088
51059450602,"Falls Church, VA",0.2081
24033802107,"District Heights, MD",0.2081
51059420201,"Alexandria, VA",0.208
11001007401,"Barry Farm, Washington, DC",0.2079
24033801805,"Temple Hills, MD",0.2077
24033801707,"Oxon Hill, MD",0.2077
24033806200,"Hyattsville, MD",0.2076
24033803402,"Landover, Hyattsville, MD",0.2075
24033806501,"Riverdale, Riverdale Park, MD",0.2073
51013103200,"Columbia Heights, Arlington, VA",0.2071
24033802404,"District Heights, MD",0.207
24033803521,"Bowie, MD",0.2068
24033800412,"Lanham, MD",0.2066
11001007504,"Historic Anacostia, Washington, DC",0.2065
24033806706,"Greenbelt, MD",0.206
51013101500,"Lyon Village, Arlington, VA",0.2049
24033804200,"Cheverly, MD",0.2038
24033804900,"Hyattsville, MD",0.2036
51059471401,"Falls Church, VA",0.203
11001007404,"Douglass, Washington, DC",0.2022
11001003400,"Howard University, Washington, DC",0.2021
24033804101,"Cheverly, MD",0.2018
11001003600,"Columbia Heights, Washington, DC",0.2014
11001008002,"Northeast Washington, Washington, DC",0.2011
11001007200,"Capitol Riverfront, Washington, DC",0.2008
51059471303,"Falls Church, VA",0.2007
24033800411,"Glenn Dale, MD",0.2004
51059451501,"Falls Church, VA",0.2004
24033802104,"District Heights, MD",0.2001
24033805101,"Chillum, MD",0.2
24033801906,"Morningside, MD",0.1998
24033806710,"Greenbelt, MD",0.1997
24033804102,"Hyattsville, MD",0.1997
51510201300,"Del Ray, Alexandria, VA",0.1993
24033803200,"Hyattsville, MD",0.1992
11001001302,"Forest Hills, Washington, DC",0.1992
11001002802,"Columbia Heights, Washington, DC",0.1992
11001002701,"Northwest Washington, Washington, DC",0.1991
11001004001,"Adams Morgan, Washington, DC",0.1988
11001008903,"Carver / Langston, Washington, DC",0.1973
24033807000,"College Park, MD",0.1968
24033803508,"Glenarden, MD",0.1967
51059452700,"Falls Church, VA",0.1967
51013101603,"North Rosslyn, Arlington, VA",0.196
51013101401,"Bluemont, Arlington, VA",0.194
11001005002,"Downtown, Washington, DC",0.1934
24033801808,"Hillcrest Heights, MD",0.1927
51510200802,"Taylor Run, Alexandria, VA",0.1925
51013102801,"Columbia Forest, Arlington, VA",0.1922
24033803602,"Glenarden, MD",0.192
51059452802,"Bailey's Crossroads, VA",0.1915
51059452502,"Lincolnia, VA",0.1913
11001009803,"Congress Heights, Washington, DC",0.191
51059451000,"Annandale, VA",0.1908
24033805500,"Hyattsville, MD",0.19
51059452600,"Alexandria, VA",0.1895
24033803612,"Lanham, MD",0.1894
24033803525,"Hyattsville, MD",0.1893
51059471100,"Falls Church, VA",0.1889
51059452102,"Annandale, VA",0.1887
24033801807,"Hillcrest Heights, MD",0.1886
24033802407,"District Heights, MD",0.1881
11001008402,"Northeast Washington, Washington, DC",0.1876
51059450100,"Falls Church, VA",0.1876
11001010200,"Southwest Washington, Washington, DC",0.1862
24033806100,"Hyattsville, MD",0.186
24031701703,"Takoma Park, MD",0.1859
51013101801,"Court House, Arlington, VA",0.1857
11001000400,"Naval Observatory, Washington, DC",0.1853
24033805601,"Hyattsville, MD",0.185
51013103700,"Arlington Ridge, Arlington, VA",0.1842
24033800706,"Upper Marlboro, MD",0.1841
51013103601,"Aurora Highlands, Arlington, VA",0.1839
11001008803,"Northeast Washington, Washington, DC",0.1835
24031704806,"Bethesda, MD",0.1828
24033804001,"Bladensburg, MD",0.1822
11001011000,"Southwest Washington, Washington, DC",0.1817
51059420300,"Alexandria, VA",0.1808
51059452801,"Alexandria, VA",0.1804
24033805909,"Hyattsville, MD",0.1802
11001001002,"Cathedral Heights, Washington, DC",0.1801
11001004400,"Northwest Washington, Washington, DC",0.1799
11001005201,"Downtown, Washington, DC",0.1799
51013102001,"Buckingham, Arlington, VA",0.1798
51510200302,"Seminary Hill, Alexandria, VA",0.1796
24033802001,"Suitland, Suitland-Silver Hill, MD",0.1795
11001003000,"Columbia Heights, Washington, DC",0.1793
11001010900,"Southwest Washington, Washington, DC",0.1788
11001008100,"Northeast Washington, Washington, DC",0.1785
24033802405,"Suitland, Suitland-Silver Hill, MD",0.1784
24033801702,"Temple Hills, MD",0.1782
51013102500,"Penrose, Arlington, VA",0.178
11001009810,"Southeast Washington, Washington, DC",0.1775
11001003500,"Northwest Washington, Washington, DC",0.1773
51059451601,"Bailey's Crossroads, VA",0.1772
51059420600,"Groveton, Alexandria, VA",0.1767
24033801908,"Suitland, Suitland-Silver Hill, MD",0.1765
51013101701,"Radnor - Fort Myer Heights, Arlington, VA",0.1763
51059450702,"Annandale, VA",0.1762
24031701800,"Takoma Park, MD",0.1758
24031705903,"Bethesda, MD",0.1758
51510201202,"Potomac West, Alexandria, VA",0.1753
51059452200,"Annandale, VA",0.1752
51013102701,"Douglas Park, Arlington, VA",0.1751
24033801708,"Oxon Hill, MD",0.1745
24033806708,"Greenbelt, MD",0.1745
51510200102,"Alexandria West, Alexandria, VA",0.1743
51510201802,"Old Town, Alexandria, VA",0.1743
24033803514,"Largo, MD",0.1738
24033806602,"Riverdale, East Riverdale, MD",0.1737
24033802106,"Suitland-Silver Hill, MD",0.1736
24033805202,"Takoma Park, MD",0.1734
51059420502,"Alexandria, VA",0.173
51510201204,"Del Ray, Alexandria, VA",0.1729
24033802201,"Upper Marlboro, MD",0.1721
24033800707,"Greater Upper Marlboro, Upper Marlboro, MD",0.172
51510200103,"Alexandria West, Alexandria, VA",0.1717
51059451900,"Alexandria, VA",0.1715
11001008804,"Northeast Washington, Washington, DC",0.1714
11001006700,"Southeast Washington, Washington, DC",0.1713
24033807200,"College Park, MD",0.171
51013102100,"Glencarlyn, Arlington, VA",0.1709
24033803613,"Lanham, MD",0.1702
51013100600,"Cherrydale, Arlington, VA",0.1689
24033804802,"Mount Rainier, MD",0.1686
24033802408,"Capitol Heights, MD",0.1684
51013101300,"Bluemont, Arlington, VA",0.1684
24033804801,"Mount Rainier, MD",0.1684
51510200703,"Southwest Quadrant, Alexandria, VA",0.1677
24033806711,"Greenbelt, MD",0.1674
51510200406,"Landmark, Alexandria, VA",0.1671
11001004202,"Northwest Washington, Washington, DC",0.167
51059450800,"Annandale, VA",0.1662
51059420503,"Alexandria, VA",0.1661
51013102003,"Buckingham, Arlington, VA",0.1655
51059450601,"Falls Church, VA",0.1651
51013100700,"Arlington, VA",0.165
11001005800,"Northwest Washington, Washington, DC",0.1646
24031701701,"Takoma Park, MD",0.1641
51510200106,"Alexandria West, Alexandria, VA",0.1636
51059450900,"Falls Church, VA",0.1631
11001007403,"Shipley, Washington, DC",0.163
11001000501,"Northwest Washington, Washington, DC",0.1628
11001008001,"Northeast Washington, Washington, DC",0.1626
11001006400,"Southwest Washington, Washington, DC",0.1623
24033806712,"Greenbelt, MD",0.1622
24031704803,"Bethesda, MD",0.1622
24031704600,"Bethesda, MD",0.1621
51013102802,"Claremont, Arlington, VA",0.162
51013102301,"Alcova Heights, Arlington, VA",0.1616
24031701900,"Takoma Park, MD",0.1614
51610500300,"Falls Church, VA",0.1613
51013100200,"Yorktown, Arlington, VA",0.161
24033800413,"Lanham, MD",0.1605
11001009802,"Southeast Washington, Washington, DC",0.1601
24031702401,"Silver Spring, MD",0.1592
51510200407,"Landmark, Alexandria, VA",0.159
51059451400,"Seven Corners, VA",0.1587
51059420700,"Alexandria, VA",0.1583
51510200303,"Landmark, Alexandria, VA",0.1581
11001004300,"Northwest Washington, Washington, DC",0.1576
11001005500,"Northwest Washington, Washington, DC",0.1575
51059430500,"Springfield, VA",0.1574
51013101200,"Dominion Hills, Arlington, VA",0.1573
51510200801,"Taylor Run, Alexandria, VA",0.1565
24031702402,"Silver Spring, MD",0.1553
51059420400,"Alexandria, VA",0.1552
24033803509,"Dodge Park, Hyattsville, MD",0.1551
11001010500,"Southwest Washington, Washington, DC",0.1548
51013100100,"Arlington, VA",0.1542
24031705601,"Bethesda, MD",0.154
11001001301,"Northwest Washington, Washington, DC",0.1535
11001000802,"Northwest Washington, Washington, DC",0.1535
11001000300,"Northwest Washington, Washington, DC",0.153
